Edit,Item Code,Item Name,Item Volume/Qty,Base Conversion Name,Conversion Volume/Qty,Conversion Name,Conversion Unit,Updated By,Updated Date
,1813,ROYCE POPCORN CHOCOLATE ORIGINAL,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:22:38
,1814,ROYCE POTATOCHIP CHOCOLATE MILD BITTER,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:24:10
,1815,ROYCE POTATOCHIP CHOCOLATE ORIGINAL,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:27:40
,1816,ROYCE POTECHI CRUNCH CHOCOLATE,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:29:12
,1817,ROYCE PRAFEUILLE CHOCOLAT BERRY CUBE,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:30:04
,1818,ROYCE PRAFEUILLE CHOCOLAT CARAMEL,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:31:50
,1819,ROYCE PURE CHOCOLATE CARAMEL MILK,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:33:33
,1820,ROYCE PURE CHOCOLATE COLOMBIA BITTER,1,BOX,1,UNIT,1.0,admin1,2025-08-22 18:06:08
,1821,ROYCE PURE CHOCOLATE COLOMBIA MILK,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:36:21
,1822,ROYCE PURE CHOCOLATE CREAMY MILK & WHITE,1,BOX,1,UNIT,1.0,admin1,2025-08-22 18:02:27
,1823,ROYCE PURE CHOCOLATE EXTRA BITTER,1,BOX,1,UNIT,1.0,admin1,2025-08-22 18:06:40
,1824,ROYCE PURE CHOCOLATE SWEET & MILK,1,BOX,1,UNIT,1.0,admin1,2025-08-22 18:01:42
,1825,ROYCE PURE CHOCOLATE VENEZUELA BITTER & GHANA SWEET,1,BOX,1,UNIT,1.0,admin1,2025-08-22 18:03:11
,1826,ROYCE RED GIFT BOX,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:42:22
,1827,ROYCE TOTE BAG,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:31:13
,1828,ROYCE UMBRELLA,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:31:13
,1829,ROYCE SAKURA GIFT BAG,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:31:12
,1830,THERMAL CARRY BAG,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:31:12
,1838,ROYCE MAGNET,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:31:12
,1842,ROYCE CORAL GIFT BOX EMPTY,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:57:48
,1844,ROYCE RED LEATHER TRAY,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:32:22
,11010,HANDWASH,1,LITRE,1,UNIT,1.0,,2023-12-29 15:42:35
,11152,CARAMEL FLAVOUR,1,LITRE,1,UNIT,1.0,Sachin,2024-07-26 15:45:45
,11156,CHOCOLATE SYRUP,1,LITRE,1,UNIT,1.0,admin1,2025-02-24 17:24:43
,11157,CINNAMON COFFEE CONCERNTRATE-LITRE,1,LITRE,1,UNIT,1.0,,2024-01-19 13:05:22
,11158,COFFEE BAG - ROYALE KG,1,KILOGRAM,1,UNIT,1.0,admin1,2025-03-14 15:22:34
